IR Wavenumber(cm-1),Absorbance
3658,0.001522697
3657,0.001435542
3656,0.001391971
3655,0.001391971
3654,0.001391971
3653,0.001479117
3652,0.001566281
3651,0.001740662
3650,0.001958736
3649,0.002089633
3648,0.002045996
3647,0.001827878
3646,0.001653463
3645,0.001566281
3644,0.001522697
3643,0.001566281
3642,0.001566281
3641,0.00160987
3640,0.00160987
3639,0.001653463
3638,0.001653463
3637,0.00160987
3636,0.001522697
3635,0.001391971
3634,0.001304842
3633,0.00121773
3632,0.001174181
3631,0.001174181
3630,0.00121773
3629,0.001261284
3628,0.001391971
3627,0.001435542
3626,0.001479117
3625,0.001479117
3624,0.001435542
3623,0.001348404
3622,0.001304842
3621,0.001261284
3620,0.001348404
3619,0.001522697
3618,0.00169706
3617,0.001871493
3616,0.002002364
3615,0.002089633
3614,0.002089633
3613,0.002089633
3612,0.002002364
3611,0.001871493
3610,0.001740662
3609,0.001653463
3608,0.001653463
3607,0.001784268
3606,0.001915112
3605,0.002133274
3604,0.002264223
3603,0.002351545
3602,0.002351545
3601,0.002220569
3600,0.002089633
3599,0.002002364
3598,0.001958736
3597,0.001958736
3596,0.002045996
3595,0.002133274
3594,0.002264223
3593,0.002307882
3592,0.002307882
3591,0.002264223
3590,0.002176919
3589,0.002133274
3588,0.002133274
3587,0.002089633
3586,0.002045996
3585,0.002045996
3584,0.002089633
3583,0.002133274
3582,0.002133274
3581,0.002133274
3580,0.002089633
3579,0.002133274
3578,0.002133274
3577,0.002220569
3576,0.002220569
3575,0.002220569
3574,0.002220569
3573,0.002176919
3572,0.002176919
3571,0.002220569
3570,0.002307882
3569,0.002482561
3568,0.002657309
3567,0.002788417
3566,0.002832129
3565,0.00274471
3564,0.002657309
3563,0.002569926
3562,0.002526241
3561,0.002438884
3560,0.002395213
3559,0.002395213
3558,0.002351545
3557,0.002351545
3556,0.002395213
3555,0.002482561
3554,0.002526241
3553,0.002569926
3552,0.002613616
3551,0.002613616
3550,0.002657309
3549,0.00274471
3548,0.002832129
3547,0.002919565
3546,0.002963289
3545,0.002919565
3544,0.002919565
3543,0.002875844
3542,0.002788417
3541,0.002701008
3540,0.002701008
3539,0.002701008
3538,0.002788417
3537,0.002875844
3536,0.003007018
3535,0.003094489
3534,0.003181978
3533,0.003138232
3532,0.003094489
3531,0.003050752
3530,0.003007018
3529,0.003050752
3528,0.003094489
3527,0.003138232
3526,0.003138232
3525,0.003138232
3524,0.003138232
3523,0.003225729
3522,0.003269485
3521,0.003313244
3520,0.003357009
3519,0.003357009
3518,0.003400777
3517,0.003400777
3516,0.00344455
3515,0.00344455
3514,0.003488328
3513,0.003575896
3512,0.003619687
3511,0.003663482
3510,0.003663482
3509,0.003619687
3508,0.003619687
3507,0.003619687
3506,0.003619687
3505,0.003663482
3504,0.003663482
3503,0.003751085
3502,0.003794894
3501,0.003838707
3500,0.003882524
3499,0.003838707
3498,0.003794894
3497,0.003751085
3496,0.003751085
3495,0.003751085
3494,0.003751085
3493,0.003838707
3492,0.003882524
3491,0.003970172
3490,0.004057837
3489,0.004101676
3488,0.004101676
3487,0.004101676
3486,0.004057837
3485,0.003970172
3484,0.003926346
3483,0.003926346
3482,0.004014002
3481,0.004101676
3480,0.004233221
3479,0.004277078
3478,0.004320939
3477,0.004320939
3476,0.004277078
3475,0.004277078
3474,0.004320939
3473,0.004320939
3472,0.004320939
3471,0.004320939
3470,0.004364805
3469,0.004364805
3468,0.004452551
3467,0.00449643
3466,0.004540313
3465,0.004584201
3464,0.004584201
3463,0.004628094
3462,0.004671991
3461,0.004715892
3460,0.004759798
3459,0.004803708
3458,0.004847623
3457,0.004847623
3456,0.004847623
3455,0.004803708
3454,0.004803708
3453,0.004759798
3452,0.004759798
3451,0.004803708
3450,0.004847623
3449,0.004935466
3448,0.005023326
3447,0.005067263
3446,0.005067263
3445,0.005111205
3444,0.005111205
3443,0.00515515
3442,0.00515515
3441,0.005199101
3440,0.005243055
3439,0.005287015
3438,0.005330978
3437,0.005330978
3436,0.005374946
3435,0.005374946
3434,0.005418919
3433,0.005506877
3432,0.005550863
3431,0.005594853
3430,0.005594853
3429,0.005594853
3428,0.005594853
3427,0.005550863
3426,0.005506877
3425,0.005506877
3424,0.005462896
3423,0.005506877
3422,0.005506877
3421,0.005550863
3420,0.005550863
3419,0.005550863
3418,0.005550863
3417,0.005550863
3416,0.005638848
3415,0.005726851
3414,0.005858889
3413,0.005946936
3412,0.005946936
3411,0.005946936
3410,0.00590291
3409,0.00590291
3408,0.005946936
3407,0.005990967
3406,0.005990967
3405,0.006035002
3404,0.005990967
3403,0.005946936
3402,0.005858889
3401,0.005770859
3400,0.005726851
3399,0.005770859
3398,0.005858889
3397,0.006035002
3396,0.006167133
3395,0.006211186
3394,0.006211186
3393,0.006167133
3392,0.006123085
3391,0.006079041
3390,0.006035002
3389,0.006035002
3388,0.006035002
3387,0.006035002
3386,0.006079041
3385,0.006123085
3384,0.006211186
3383,0.006211186
3382,0.006255243
3381,0.006255243
3380,0.006299305
3379,0.006299305
3378,0.006255243
3377,0.006255243
3376,0.006255243
3375,0.006299305
3374,0.006343371
3373,0.006387442
3372,0.006431517
3371,0.006431517
3370,0.006387442
3369,0.006387442
3368,0.006343371
3367,0.006387442
3366,0.006431517
3365,0.006519681
3364,0.00656377
3363,0.006607863
3362,0.00665196
3361,0.00665196
3360,0.006607863
3359,0.006519681
3358,0.006475597
3357,0.006431517
3356,0.006475597
3355,0.006475597
3354,0.00656377
3353,0.006607863
3352,0.00665196
3351,0.006696062
3350,0.006740169
3349,0.00678428
3348,0.006740169
3347,0.006740169
3346,0.006696062
3345,0.006696062
3344,0.006696062
3343,0.006696062
3342,0.006696062
3341,0.006696062
3340,0.006696062
3339,0.00665196
3338,0.00665196
3337,0.00665196
3336,0.006696062
3335,0.00678428
3334,0.006872515
3333,0.006916639
3332,0.006960768
3331,0.007004902
3330,0.007004902
3329,0.007049039
3328,0.007049039
3327,0.007049039
3326,0.007049039
3325,0.007004902
3324,0.006916639
3323,0.006872515
3322,0.006872515
3321,0.006872515
3320,0.006916639
3319,0.006960768
3318,0.007004902
3317,0.007093182
3316,0.007137329
3315,0.007137329
3314,0.007137329
3313,0.007137329
3312,0.007137329
3311,0.007093182
3310,0.007137329
3309,0.007137329
3308,0.00718148
3307,0.007269796
3306,0.007313961
3305,0.007313961
3304,0.00735813
3303,0.007313961
3302,0.007313961
3301,0.007269796
3300,0.007269796
3299,0.007225636
3298,0.00718148
3297,0.007137329
3296,0.007049039
3295,0.007004902
3294,0.007004902
3293,0.007004902
3292,0.007004902
3291,0.007004902
3290,0.007004902
3289,0.007049039
3288,0.007137329
3287,0.00718148
3286,0.007225636
3285,0.007269796
3284,0.007313961
3283,0.007269796
3282,0.007269796
3281,0.007225636
3280,0.00718148
3279,0.007137329
3278,0.007093182
3277,0.007049039
3276,0.007049039
3275,0.007004902
3274,0.007004902
3273,0.007049039
3272,0.007049039
3271,0.007049039
3270,0.007004902
3269,0.006960768
3268,0.006960768
3267,0.006960768
3266,0.006960768
3265,0.007004902
3264,0.007004902
3263,0.007049039
3262,0.007093182
3261,0.007137329
3260,0.00718148
3259,0.007225636
3258,0.007225636
3257,0.007225636
3256,0.00718148
3255,0.007093182
3254,0.007049039
3253,0.007004902
3252,0.007049039
3251,0.007137329
3250,0.007225636
3249,0.007269796
3248,0.007313961
3247,0.007313961
3246,0.007269796
3245,0.007269796
3244,0.00718148
3243,0.007137329
3242,0.007137329
3241,0.007137329
3240,0.00718148
3239,0.007225636
3238,0.007269796
3237,0.007269796
3236,0.007225636
3235,0.00718148
3234,0.007137329
3233,0.007137329
3232,0.007137329
3231,0.00718148
3230,0.00718148
3229,0.007225636
3228,0.007269796
3227,0.007313961
3226,0.007313961
3225,0.007269796
3224,0.007225636
3223,0.007225636
3222,0.007225636
3221,0.007313961
3220,0.007313961
3219,0.007313961
3218,0.007313961
3217,0.007269796
3216,0.007225636
3215,0.007137329
3214,0.007093182
3213,0.007093182
3212,0.007093182
3211,0.007093182
3210,0.007137329
3209,0.00718148
3208,0.00718148
3207,0.007225636
3206,0.007225636
3205,0.007225636
3204,0.00718148
3203,0.007137329
3202,0.007093182
3201,0.007049039
3200,0.006960768
3199,0.006872515
3198,0.006828395
3197,0.006828395
3196,0.006872515
3195,0.006872515
3194,0.006916639
3193,0.006872515
3192,0.006828395
3191,0.006828395
3190,0.006828395
3189,0.006828395
3188,0.006872515
3187,0.006872515
3186,0.006872515
3185,0.006872515
3184,0.006916639
3183,0.006916639
3182,0.006872515
3181,0.006828395
3180,0.00678428
3179,0.006740169
3178,0.006696062
3177,0.006696062
3176,0.00665196
3175,0.006607863
3174,0.006519681
3173,0.006475597
3172,0.006431517
3171,0.006431517
3170,0.006475597
3169,0.00656377
3168,0.006607863
3167,0.006607863
3166,0.006607863
3165,0.006519681
3164,0.006475597
3163,0.006387442
3162,0.006343371
3161,0.006343371
3160,0.006387442
3159,0.006431517
3158,0.006475597
3157,0.00656377
3156,0.00656377
3155,0.00656377
3154,0.006519681
3153,0.006475597
3152,0.006475597
3151,0.006431517
3150,0.006431517
3149,0.006475597
3148,0.006431517
3147,0.006387442
3146,0.006343371
3145,0.006255243
3144,0.006167133
3143,0.006167133
3142,0.006255243
3141,0.006343371
3140,0.006431517
3139,0.006431517
3138,0.006431517
3137,0.006387442
3136,0.006343371
3135,0.006299305
3134,0.006255243
3133,0.006211186
3132,0.006167133
3131,0.006167133
3130,0.006167133
3129,0.006167133
3128,0.006167133
3127,0.006167133
3126,0.006123085
3125,0.006123085
3124,0.006079041
3123,0.006123085
3122,0.006123085
3121,0.006079041
3120,0.006035002
3119,0.005990967
3118,0.005946936
3117,0.00590291
3116,0.00590291
3115,0.005858889
3114,0.005814872
3113,0.005770859
3112,0.005726851
3111,0.005726851
3110,0.005770859
3109,0.005858889
3108,0.00590291
3107,0.00590291
3106,0.005858889
3105,0.005814872
3104,0.005814872
3103,0.005858889
3102,0.00590291
3101,0.005990967
3100,0.005990967
3099,0.00590291
3098,0.005858889
3097,0.005770859
3096,0.005726851
3095,0.005682847
3094,0.005682847
3093,0.005726851
3092,0.005770859
3091,0.005814872
3090,0.005858889
3089,0.005858889
3088,0.005814872
3087,0.005770859
3086,0.005726851
3085,0.005638848
3084,0.005638848
3083,0.005638848
3082,0.005726851
3081,0.005814872
3080,0.005814872
3079,0.005770859
3078,0.005682847
3077,0.005550863
3076,0.005506877
3075,0.005462896
3074,0.005418919
3073,0.005418919
3072,0.005418919
3071,0.005418919
3070,0.005462896
3069,0.005506877
3068,0.005506877
3067,0.005506877
3066,0.005418919
3065,0.005330978
3064,0.005199101
3063,0.005111205
3062,0.005023326
3061,0.004979394
3060,0.005023326
3059,0.005067263
3058,0.00515515
3057,0.005243055
3056,0.005243055
3055,0.005243055
3054,0.005199101
3053,0.005199101
3052,0.00515515
3051,0.00515515
3050,0.00515515
3049,0.005199101
3048,0.005199101
3047,0.005199101
3046,0.00515515
3045,0.005111205
3044,0.005067263
3043,0.005023326
3042,0.005023326
3041,0.005067263
3040,0.005067263
3039,0.005067263
3038,0.005023326
3037,0.005023326
3036,0.004979394
3035,0.004935466
3034,0.004891542
3033,0.004847623
3032,0.004803708
3031,0.004759798
3030,0.004759798
3029,0.004759798
3028,0.004803708
3027,0.004803708
3026,0.004759798
3025,0.004715892
3024,0.004671991
3023,0.004628094
3022,0.004584201
3021,0.004628094
3020,0.004671991
3019,0.004715892
3018,0.004803708
3017,0.004847623
3016,0.004891542
3015,0.004935466
3014,0.004935466
3013,0.004891542
3012,0.004891542
3011,0.004847623
3010,0.004803708
3009,0.004715892
3008,0.004671991
3007,0.004671991
3006,0.004671991
3005,0.004671991
3004,0.004715892
3003,0.004671991
3002,0.004628094
3001,0.004584201
3000,0.004540313
2999,0.00449643
2998,0.00449643
2997,0.00449643
2996,0.004540313
2995,0.004584201
2994,0.004584201
2993,0.004628094
2992,0.004628094
2991,0.004584201
2990,0.004540313
2989,0.004540313
2988,0.004628094
2987,0.004715892
2986,0.004803708
2985,0.004847623
2984,0.004891542
2983,0.004935466
2982,0.004935466
2981,0.004935466
2980,0.004935466
2979,0.004979394
2978,0.005023326
2977,0.005067263
2976,0.005111205
2975,0.00515515
2974,0.00515515
2973,0.00515515
2972,0.005111205
2971,0.005023326
2970,0.004935466
2969,0.004891542
2968,0.004803708
2967,0.004715892
2966,0.004671991
2965,0.004671991
2964,0.004671991
2963,0.004671991
2962,0.004671991
2961,0.004584201
2960,0.00449643
2959,0.004408676
2958,0.004320939
2957,0.004233221
2956,0.004189368
2955,0.00414552
2954,0.00414552
2953,0.004189368
2952,0.004233221
2951,0.004233221
2950,0.004233221
2949,0.004189368
2948,0.004101676
2947,0.004014002
2946,0.003970172
2945,0.003970172
2944,0.003970172
2943,0.003970172
2942,0.003970172
2941,0.003970172
2940,0.003970172
2939,0.003970172
2938,0.003970172
2937,0.004014002
2936,0.003970172
2935,0.003882524
2934,0.003794894
2933,0.003751085
2932,0.003707281
2931,0.003751085
2930,0.003882524
2929,0.003970172
2928,0.004057837
2927,0.004101676
2926,0.004014002
2925,0.003882524
2924,0.003751085
2923,0.003707281
2922,0.003663482
2921,0.003663482
2920,0.003663482
2919,0.003707281
2918,0.003751085
2917,0.003794894
2916,0.003794894
2915,0.003794894
2914,0.003751085
2913,0.003663482
2912,0.003575896
2911,0.00353211
2910,0.00344455
2909,0.003400777
2908,0.003400777
2907,0.003400777
2906,0.00344455
2905,0.003488328
2904,0.003575896
2903,0.003619687
2902,0.003663482
2901,0.003663482
2900,0.003707281
2899,0.003751085
2898,0.003794894
2897,0.003794894
2896,0.003794894
2895,0.003707281
2894,0.003663482
2893,0.003619687
2892,0.003575896
2891,0.003575896
2890,0.00353211
2889,0.003488328
2888,0.00344455
2887,0.003400777
2886,0.003400777
2885,0.00344455
2884,0.00344455
2883,0.003488328
2882,0.003488328
2881,0.003488328
2880,0.00344455
2879,0.003400777
2878,0.003357009
2877,0.003269485
2876,0.003225729
2875,0.003181978
2874,0.003181978
2873,0.003181978
2872,0.003225729
2871,0.003313244
2870,0.003400777
2869,0.00344455
2868,0.003400777
2867,0.003313244
2866,0.003225729
2865,0.003138232
2864,0.003050752
2863,0.003007018
2862,0.003007018
2861,0.003007018
2860,0.003007018
2859,0.003007018
2858,0.003007018
2857,0.002963289
2856,0.002919565
2855,0.002875844
2854,0.002875844
2853,0.002832129
2852,0.002832129
2851,0.002832129
2850,0.002832129
2849,0.002788417
2848,0.00274471
2847,0.00274471
2846,0.002788417
2845,0.002832129
2844,0.002832129
2843,0.002875844
2842,0.002832129
2841,0.002788417
2840,0.002788417
2839,0.002788417
2838,0.002788417
2837,0.00274471
2836,0.002701008
2835,0.002657309
2834,0.002613616
2833,0.002569926
2832,0.002569926
2831,0.002526241
2830,0.002482561
2829,0.002438884
2828,0.002438884
2827,0.002395213
2826,0.002351545
2825,0.002307882
2824,0.002264223
2823,0.002264223
2822,0.002264223
2821,0.002307882
2820,0.002307882
2819,0.002307882
2818,0.002307882
2817,0.002264223
2816,0.002220569
2815,0.002220569
2814,0.002176919
2813,0.002176919
2812,0.002176919
2811,0.002176919
2810,0.002133274
2809,0.002089633
2808,0.002089633
2807,0.002089633
2806,0.002133274
2805,0.002133274
2804,0.002089633
2803,0.002089633
2802,0.002089633
2801,0.002089633
2800,0.002133274
2799,0.002176919
2798,0.002176919
2797,0.002176919
2796,0.002176919
2795,0.002176919
2794,0.002220569
2793,0.002176919
2792,0.002176919
2791,0.002089633
2790,0.002045996
2789,0.002002364
2788,0.001958736
2787,0.001958736
2786,0.001958736
2785,0.001958736
2784,0.001958736
2783,0.001958736
2782,0.001915112
2781,0.001915112
2780,0.001915112
2779,0.001958736
2778,0.001958736
2777,0.002002364
2776,0.002045996
2775,0.002089633
2774,0.002089633
2773,0.002089633
2772,0.002089633
2771,0.002089633
2770,0.002045996
2769,0.002002364
2768,0.001915112
2767,0.001871493
2766,0.001871493
2765,0.001871493
2764,0.001871493
2763,0.001871493
2762,0.001871493
2761,0.001871493
2760,0.001871493
2759,0.001871493
2758,0.001871493
2757,0.001871493
2756,0.001871493
2755,0.001871493
2754,0.001871493
2753,0.001827878
2752,0.001827878
2751,0.001784268
2750,0.001740662
2749,0.001740662
2748,0.001740662
2747,0.001740662
2746,0.00169706
2745,0.00169706
2744,0.00169706
2743,0.00169706
2742,0.00169706
2741,0.00169706
2740,0.001653463
2739,0.00160987
2738,0.00160987
2737,0.00160987
2736,0.00160987
2735,0.00160987
2734,0.00160987
2733,0.00160987
2732,0.001653463
2731,0.001653463
2730,0.00169706
2729,0.00169706
2728,0.00169706
2727,0.00169706
2726,0.001653463
2725,0.00160987
2724,0.00160987
2723,0.001653463
2722,0.001653463
2721,0.001653463
2720,0.00160987
2719,0.001566281
2718,0.001522697
2717,0.001522697
2716,0.001522697
2715,0.001566281
2714,0.00160987
2713,0.001566281
2712,0.001522697
2711,0.001479117
2710,0.001435542
2709,0.001391971
2708,0.001391971
2707,0.001435542
2706,0.001435542
2705,0.001391971
2704,0.001348404
2703,0.001304842
2702,0.001261284
2701,0.001261284
2700,0.001304842
2699,0.001304842
2698,0.001348404
2697,0.001348404
2696,0.001391971
2695,0.001391971
2694,0.001435542
2693,0.001435542
2692,0.001391971
2691,0.001391971
2690,0.001348404
2689,0.001304842
2688,0.001304842
2687,0.001304842
2686,0.001348404
2685,0.001348404
2684,0.001348404
2683,0.001348404
2682,0.001304842
2681,0.001261284
2680,0.00121773
2679,0.00121773
2678,0.001174181
2677,0.001174181
2676,0.001174181
2675,0.00121773
2674,0.001261284
2673,0.001304842
2672,0.001391971
2671,0.001435542
2670,0.001435542
2669,0.001391971
2668,0.001348404
2667,0.001304842
2666,0.001304842
2665,0.001348404
2664,0.001391971
2663,0.001435542
2662,0.001479117
2661,0.001566281
2660,0.00160987
2659,0.001653463
2658,0.001653463
2657,0.001653463
2656,0.001653463
2655,0.001653463
2654,0.00169706
2653,0.00169706
2652,0.00169706
2651,0.00169706
2650,0.001653463
2649,0.00160987
2648,0.001566281
2647,0.001566281
2646,0.001566281
2645,0.00160987
2644,0.00160987
2643,0.00160987
2642,0.00160987
2641,0.00160987
2640,0.00160987
2639,0.001566281
2638,0.001522697
2637,0.001479117
2636,0.001435542
2635,0.001348404
2634,0.001348404
2633,0.001348404
2632,0.001391971
2631,0.001391971
2630,0.001391971
2629,0.001304842
2628,0.001174181
2627,0.001087096
2626,0.00104356
2625,0.00104356
2624,0.00104356
2623,0.00104356
2622,0.001000028
2621,0.001000028
2620,0.001000028
2619,0.00104356
2618,0.001087096
2617,0.001130636
2616,0.001130636
2615,0.001174181
2614,0.001130636
2613,0.001130636
2612,0.001087096
2611,0.001087096
2610,0.001087096
2609,0.001087096
2608,0.001087096
2607,0.001087096
2606,0.001087096
2605,0.001130636
2604,0.001174181
2603,0.00121773
2602,0.00121773
2601,0.001261284
2600,0.001348404
2599,0.001391971
2598,0.001391971
2597,0.001391971
2596,0.001348404
2595,0.001304842
2594,0.001261284
2593,0.00121773
2592,0.00121773
2591,0.001174181
2590,0.001174181
2589,0.001174181
2588,0.001130636
2587,0.001087096
2586,0.00104356
2585,0.001000028
2584,0.001000028
2583,0.0009565
2582,0.000912977
2581,0.000912977
2580,0.000912977
2579,0.0009565
2578,0.00104356
2577,0.001087096
2576,0.001087096
2575,0.00104356
2574,0.001000028
2573,0.001000028
2572,0.001000028
2571,0.00104356
2570,0.001000028
2569,0.000869459
2568,0.000782434
2567,0.000695428
2566,0.000651931
2565,0.000608438
2564,0.000608438
2563,0.000651931
2562,0.000695428
2561,0.000738929
2560,0.000738929
2559,0.000738929
2558,0.000651931
2557,0.000608438
2556,0.00056495
2555,0.000608438
2554,0.000651931
2553,0.000695428
2552,0.000695428
2551,0.000738929
2550,0.000825944
2549,0.000912977
2548,0.00104356
2547,0.001130636
2546,0.001130636
2545,0.001130636
2544,0.001000028
2543,0.000869459
2542,0.000738929
2541,0.000651931
2540,0.000608438
2539,0.000651931
2538,0.000695428
2537,0.000738929
2536,0.000738929
2535,0.000695428
2534,0.000651931
2533,0.000651931
2532,0.000608438
2531,0.00056495
2530,0.000608438
2529,0.000651931
2528,0.000738929
2527,0.000825944
2526,0.000912977
2525,0.0009565
2524,0.000912977
2523,0.000869459
2522,0.000825944
2521,0.000825944
2520,0.000869459
2519,0.000869459
2518,0.000825944
2517,0.000782434
2516,0.000738929
2515,0.000695428
2514,0.000651931
2513,0.000695428
2512,0.000738929
2511,0.000825944
2510,0.000869459
2509,0.000912977
2508,0.000912977
2507,0.000912977
2506,0.000869459
2505,0.000825944
2504,0.000738929
2503,0.000651931
2502,0.00056495
2501,0.000521466
2500,0.000521466
2499,0.00056495
2498,0.000651931
2497,0.000782434
2496,0.000912977
2495,0.00104356
2494,0.001130636
2493,0.001130636
2492,0.001087096
2491,0.001000028
2490,0.000912977
2489,0.000869459
2488,0.000825944
2487,0.000782434
2486,0.000695428
2485,0.000608438
2484,0.000521466
2483,0.000434512
2482,0.000391041
2481,0.000347575
2480,0.000391041
2479,0.000434512
2478,0.000521466
2477,0.00056495
2476,0.00056495
2475,0.000521466
2474,0.000521466
2473,0.000521466
2472,0.000521466
2471,0.000521466
2470,0.000521466
2469,0.000477987
2468,0.000477987
2467,0.000477987
2466,0.000521466
2465,0.000521466
2464,0.000521466
2463,0.000434512
2462,0.000391041
2461,0.000304113
2460,0.000304113
2459,0.000347575
2458,0.000434512
2457,0.000477987
2456,0.000521466
2455,0.000477987
2454,0.000391041
2453,0.000347575
